Reading in simulation parameters
         44326243 function calls (41267471 primitive calls) in 132.976 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.012    0.012    0.012    0.012 xmlbuilder.py:45(DOMBuilder)
     1561    0.012    0.000    0.012    0.000 sre_parse.py:111(__init__)
  644/275    0.012    0.000    0.235    0.001 sre_parse.py:417(_parse_sub)
     2330    0.012    0.000    0.270    0.000 inspect.py:594(getdoc)
       27    0.012    0.000    0.067    0.002 __init__.py:904(_rc_params_in_file)
    854/6    0.011    0.000    3.471    0.578 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
      373    0.010    0.000    0.028    0.000 colors.py:193(_to_rgba_no_colorcycle)
      810    0.010    0.000    0.046    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
     7095    0.010    0.000    0.010    0.000 {method 'rpartition' of 'str' objects}
       12    0.010    0.001    0.150    0.013 artist.py:1314(_get_setters_and_targets)
     3355    0.010    0.000    0.118    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
      855    0.010    0.000    0.013    0.000 <frozen importlib._bootstrap>:176(cb)
     1436    0.009    0.000    0.011    0.000 <frozen importlib._bootstrap>:103(release)
      748    0.009    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
      811    0.009    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
     3321    0.009    0.000    0.013    0.000 sre_parse.py:160(__len__)
     2794    0.009    0.000    0.042    0.000 enum.py:284(__call__)
       48    0.009    0.000    0.019    0.000 __init__.py:316(namedtuple)
      116    0.009    0.000    0.047    0.000 decorator.py:93(__init__)
     1436    0.009    0.000    0.011    0.000 <frozen importlib._bootstrap>:78(acquire)
      748    0.009    0.000    0.238    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
        1    0.009    0.009    0.009    0.009 synchronize.py:50(__init__)
       35    0.009    0.000    0.018    0.001 textwrap.py:233(_wrap_chunks)
     1689    0.008    0.000    0.182    0.000 artist.py:1350(is_alias)
      815    0.008    0.000    0.029    0.000 <frozen importlib._bootstrap>:318(__exit__)
     4821    0.008    0.000    0.008    0.000 {built-in method _imp.release_lock}
        1    0.008    0.008    0.008    0.008 {built-in method posix.read}
     2961    0.008    0.000    0.011    0.000 sre_parse.py:172(append)
     5183    0.008    0.000    0.008    0.000 {method 'pop' of 'list' objects}
       34    0.008    0.000    0.027    0.001 enum.py:135(__new__)
     2245    0.007    0.000    0.007    0.000 {built-in method from_bytes}
      411    0.007    0.000    0.023    0.000 copy.py:66(copy)
    748/7    0.007    0.000    3.465    0.495 <frozen importlib._bootstrap_external>:722(exec_module)
       32    0.007    0.000    0.043    0.001 colors.py:782(from_list)
     2138    0.007    0.000    0.010    0.000 sre_parse.py:286(tell)
     4821    0.007    0.000    0.007    0.000 {built-in method _imp.acquire_lock}
     1553    0.007    0.000    0.079    0.000 __init__.py:784(__setitem__)
      412    0.007    0.000    0.011    0.000 artist.py:1357(aliased_name)
      275    0.007    0.000    0.247    0.001 sre_parse.py:919(parse)
  815/810    0.007    0.000    0.253    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
     2926    0.007    0.000    0.009    0.000 inspect.py:2799(<genexpr>)
      412    0.007    0.000    0.167    0.000 artist.py:1278(get_valid_values)
     2244    0.007    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
      275    0.007    0.000    0.414    0.002 sre_compile.py:759(compile)
      116    0.007    0.000    0.036    0.000 decorator.py:162(make)
     1496    0.006    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
      811    0.006    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
     1032    0.006    0.000    0.006    0.000 {method 'search' of 're.Pattern' objects}
     2530    0.006    0.000    0.009    0.000 <frozen importlib._bootstrap>:859(__exit__)
       33    0.006    0.000    0.006    0.000 {built-in method io.open}
      116    0.006    0.000    0.008    0.000 decorator.py:145(update)
      275    0.006    0.000    0.036    0.000 sre_compile.py:536(_compile_info)
     2530    0.006    0.000    0.009    0.000 <frozen importlib._bootstrap>:855(__enter__)
      748    0.006    0.000    0.006    0.000 {built-in method _imp._fix_co_filename}
     2270    0.006    0.000    0.008    0.000 inspect.py:158(isfunction)
      112    0.006    0.000    0.033    0.000 inspect.py:1089(getfullargspec)
       12    0.006    0.000    0.011    0.001 artist.py:1261(<listcomp>)
     2146    0.006    0.000    0.006    0.000 {method 'format' of 'str' objects}
       12    0.006    0.000    0.147    0.012 artist.py:1250(get_aliases)
      742    0.006    0.000    0.011    0.000 inspect.py:484(unwrap)
     4643    0.005    0.000    0.005    0.000 {method 'strip' of 'str' objects}
     2627    0.005    0.000    0.005    0.000 {method 'expandtabs' of 'str' objects}
     1492    0.005    0.000    0.023    0.000 re.py:170(match)
        1    0.005    0.005    0.098    0.098 backend_qt5.py:1(<module>)
       36    0.005    0.000    0.044    0.001 argparse.py:495(_format_action)
      411    0.005    0.000    0.009    0.000 copy.py:268(_reconstruct)
       72    0.005    0.000    0.007    0.000 magic_arguments.py:73(_format_action_invocation)
      759    0.005    0.000    0.042    0.000 colors.py:157(to_rgba)
     1211    0.005    0.000    0.039    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
     2769    0.005    0.000    0.006    0.000 enum.py:526(__new__)
      188    0.005    0.000    0.005    0.000 colors.py:845(<listcomp>)
       51    0.005    0.000    0.005    0.000 {method 'split' of 're.Pattern' objects}
     1553    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap>:416(parent)
       34    0.004    0.000    0.009    0.000 enum.py:177(<setcomp>)
      860    0.004    0.000    0.039    0.000 <frozen importlib._bootstrap>:147(__enter__)
      834    0.004    0.000    0.316    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
     1547    0.004    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
     2702    0.004    0.000    0.005    0.000 {built-in method posix.fspath}
     1765    0.004    0.000    0.004    0.000 {method 'match' of 're.Pattern' objects}
      855    0.004    0.000    0.007    0.000 <frozen importlib._bootstrap>:58(__init__)
     1558    0.004    0.000    0.050    0.000 <frozen importlib._bootstrap>:403(cached)
      474    0.004    0.000    0.007    0.000 sre_compile.py:249(_compile_charset)
     1693    0.004    0.000    0.011    0.000 inspect.py:72(isclass)
     1210    0.004    0.000    0.016    0.000 colors.py:123(_is_nth_color)
      410    0.004    0.000    0.027    0.000 pyparsing.py:1314(copy)
     1807    0.004    0.000    0.004    0.000 {method 'update' of 'dict' objects}
     3583    0.004    0.000    0.004    0.000 inspect.py:2517(name)
   1065/7    0.004    0.000    3.460    0.494 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      444    0.004    0.000    0.011    0.000 enum.py:70(__setitem__)
        1    0.004    0.004  132.979  132.979 AntoniaPractice4.py:1(<module>)
      612    0.004    0.000    0.006    0.000 _inspect.py:67(getargs)
      116    0.004    0.000    0.089    0.001 decorator.py:197(create)
       93    0.004    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
     3051    0.004    0.000    0.004    0.000 {built-in method builtins.callable}
     2891    0.004    0.000    0.004    0.000 {built-in method _thread.get_ident}
     3248    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
     1564    0.004    0.000    0.004    0.000 {method 'find' of 'bytearray' objects}
   260/11    0.004    0.000    0.014    0.001 pyparsing.py:1530(_parseNoCache)
       72    0.004    0.000    0.004    0.000 argparse.py:616(_iter_indented_subactions)
     1115    0.004    0.000    0.040    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
      909    0.004    0.000    0.004    0.000 inspect.py:2835(parameters)
       91    0.004    0.000    0.006    0.000 __init__.py:1663(normalize_kwargs)
    62/52    0.003    0.000    0.032    0.001 {built-in method _imp.exec_dynamic}
     3070    0.003    0.000    0.003    0.000 {built-in method builtins.ord}
       72    0.003    0.000    0.061    0.001 __init__.py:1488(_preprocess_data)
      286    0.003    0.000    0.018    0.000 overrides.py:72(verify_matching_signatures)
      453    0.003    0.000    0.033    0.000 rcsetup.py:327(validate_color)
      138    0.003    0.000    0.018    0.000 deprecation.py:172(deprecate)
      233    0.003    0.000    0.003    0.000 pyparsing.py:1291(__init__)
      275    0.003    0.000    0.155    0.001 sre_compile.py:598(_code)
      399    0.003    0.000    0.005    0.000 sre_parse.py:343(_escape)
      698    0.003    0.000    0.011    0.000 sre_compile.py:423(_simple)
     1691    0.003    0.000    0.003    0.000 {method 'endswith' of 'str' objects}
       30    0.003    0.000    0.010    0.000 function_base.py:26(linspace)
      576    0.003    0.000    0.016    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
      748    0.003    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
     2487    0.003    0.000    0.003    0.000 {method 'isidentifier' of 'str' objects}
      242    0.003    0.000    0.003    0.000 types.py:164(__get__)
      689    0.003    0.000    0.004    0.000 {method 'extend' of 'list' objects}
      616    0.003    0.000    0.013    0.000 _inspect.py:98(getargspec)
      275    0.003    0.000    0.007    0.000 enum.py:836(__and__)
      748    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
      224    0.003    0.000    0.005    0.000 posixpath.py:75(join)
     1124    0.003    0.000    0.004    0.000 sre_parse.py:81(groups)
