Reading in simulation parameters
         44326243 function calls (41267471 primitive calls) in 132.976 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 vt100.py:179(__init__)
      134    0.000    0.000    0.000    0.000 __init__.py:1961(<listcomp>)
        2    0.000    0.000    0.322    0.161 __init__.py:11(<module>)
       51    0.000    0.000    0.002    0.000 transforms.py:2462(composite_transform_factory)
        1    0.000    0.000    0.001    0.001 quoprimime.py:27(<module>)
       50    0.000    0.000    0.001    0.000 _dtype.py:319(_name_includes_bit_suffix)
       27    0.000    0.000    0.094    0.003 __init__.py:969(rc_params_from_file)
        9    0.000    0.000    0.001    0.000 enum.py:890(<listcomp>)
        1    0.000    0.000    0.017    0.017 font_manager.py:14(<module>)
       15    0.000    0.000    0.001    0.000 traitlets.py:2468(__init__)
       34    0.000    0.000    0.000    0.000 traitlets.py:762(observe)
      103    0.000    0.000    0.000    0.000 transforms.py:1701(__init__)
       39    0.000    0.000    0.001    0.000 __init__.py:1341(__init__)
       31    0.000    0.000    0.000    0.000 traitlets.py:2259(class_init)
        1    0.000    0.000    0.000    0.000 _compatibility.py:23(DummyFile)
   141/53    0.000    0.000    0.002    0.000 abc.py:141(__subclasscheck__)
        6    0.000    0.000    0.015    0.003 patches.py:1793(<listcomp>)
      207    0.000    0.000    0.000    0.000 scanner.py:279(stale_possible_simple_keys)
       34    0.000    0.000    0.001    0.000 enum.py:125(__prepare__)
        8    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
       42    0.000    0.000    0.001    0.000 pyparsing.py:889(copy)
       31    0.000    0.000    0.002    0.000 traitlets.py:2275(__init__)
       35    0.000    0.000    0.024    0.001 textwrap.py:342(wrap)
      250    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.003    0.003 __init__.py:5(HTTPStatus)
      122    0.000    0.000    0.000    0.000 ssl.py:134(<lambda>)
       91    0.000    0.000    0.000    0.000 inspect.py:80(ismethod)
       73    0.000    0.000    0.004    0.000 linecache.py:37(getlines)
        2    0.000    0.000    0.000    0.000 functools.py:750(singledispatch)
        1    0.000    0.000    0.001    0.001 axes3d.py:42(Axes3D)
        1    0.000    0.000    0.004    0.004 errors.py:2(<module>)
       24    0.000    0.000    0.002    0.000 linecache.py:53(checkcache)
       24    0.000    0.000    0.010    0.000 pyparsing.py:1192(extract_stack)
       16    0.000    0.000    0.002    0.000 deprecation.py:363(_make_keyword_only)
       34    0.000    0.000    0.000    0.000 typing.py:110(_type_check)
        5    0.000    0.000    0.004    0.001 base.py:3(<module>)
      144    0.000    0.000    0.000    0.000 inspect.py:63(ismodule)
        1    0.000    0.000    0.001    0.001 typing.py:1449(IO)
       50    0.000    0.000    0.001    0.000 _internal.py:784(_ufunc_doc_signature_formatter)
       19    0.000    0.000    0.001    0.000 _add_newdocs.py:6738(add_newdoc_for_scalar_type)
      110    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       37    0.000    0.000    0.000    0.000 magic_arguments.py:180(__call__)
       27    0.000    0.000    0.003    0.000 utils.py:106(test_callable_args)
      216    0.000    0.000    0.000    0.000 argparse.py:658(<genexpr>)
       76    0.000    0.000    0.000    0.000 traitlets.py:181(is_trait)
       53    0.000    0.000    0.001    0.000 artist.py:695(set_figure)
      122    0.000    0.000    0.000    0.000 ssl.py:139(<lambda>)
       16    0.000    0.000    0.003    0.000 ticker.py:2095(set_params)
       35    0.000    0.000    0.001    0.000 transforms.py:727(__init__)
       56    0.000    0.000    0.001    0.000 inspect.py:1825(_signature_is_builtin)
        1    0.000    0.000    0.015    0.015 socket.py:47(<module>)
       30    0.000    0.000    0.001    0.000 getlimits.py:43(<lambda>)
     24/4    0.000    0.000    0.005    0.001 pyparsing.py:3727(streamline)
       57    0.000    0.000    0.000    0.000 rcsetup.py:387(validate_fontsize)
        1    0.000    0.000    0.008    0.008 inspect.py:27(<module>)
      168    0.000    0.000    0.000    0.000 inspect.py:2839(return_annotation)
       30    0.000    0.000    0.001    0.000 {method 'any' of 'numpy.generic' objects}
      168    0.000    0.000    0.000    0.000 abc.py:7(abstractmethod)
      138    0.000    0.000    0.000    0.000 pyparsing.py:2249(setWhitespaceChars)
       72    0.000    0.000    0.000    0.000 traceback.py:243(__init__)
        1    0.000    0.000    0.025    0.025 traitlets.py:35(<module>)
       65    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
       38    0.000    0.000    0.000    0.000 lines.py:1114(_split_drawstyle_linestyle)
        1    0.000    0.000    0.024    0.024 ansi.py:1(<module>)
      134    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        1    0.000    0.000    0.001    0.001 ansi_escape_sequences.py:181(_get_reverse_ansi_sequences)
       58    0.000    0.000    0.000    0.000 __init__.py:20(__new__)
        1    0.000    0.000    0.005    0.005 tokenize.py:21(<module>)
       33    0.000    0.000    0.000    0.000 warnings.py:474(__enter__)
        1    0.000    0.000    0.008    0.008 defchararray.py:17(<module>)
       35    0.000    0.000    0.001    0.000 textwrap.py:146(_munge_whitespace)
       30    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(result_type)
       15    0.000    0.000    0.005    0.000 artist.py:731(set_clip_path)
       57    0.000    0.000    0.000    0.000 traitlets.py:904(__call__)
       66    0.000    0.000    0.000    0.000 pyparsing.py:3729(<genexpr>)
        1    0.000    0.000    0.003    0.003 style.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:259(_reset_cache)
       11    0.000    0.000    0.452    0.041 artist.py:1611(kwdoc)
       33    0.000    0.000    0.000    0.000 warnings.py:493(__exit__)
       22    0.000    0.000    0.018    0.001 gettext.py:585(dgettext)
       48    0.000    0.000    0.007    0.000 argparse.py:2460(_get_formatter)
       16    0.000    0.000    0.001    0.000 cycler.py:191(_from_iter)
       19    0.000    0.000    0.002    0.000 markers.py:272(set_marker)
        1    0.000    0.000    0.086    0.086 __init__.py:13(<module>)
       21    0.000    0.000    0.000    0.000 {built-in method _warnings.warn}
        2    0.000    0.000    0.004    0.002 _compatibility.py:4(<module>)
       72    0.000    0.000    0.001    0.000 pyparsing.py:1659(set)
       72    0.000    0.000    0.000    0.000 linecache.py:147(lazycache)
        1    0.000    0.000    0.000    0.000 contextlib.py:71(inner)
    33/32    0.000    0.000    0.005    0.000 typing.py:245(inner)
       71    0.000    0.000    0.001    0.000 artist.py:937(set_visible)
      191    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
    24/12    0.000    0.000    0.004    0.000 pyparsing.py:3897(parseImpl)
       15    0.000    0.000    0.012    0.001 rcsetup.py:775(cycler)
        1    0.000    0.000    0.006    0.006 __init__.py:24(<module>)
      257    0.000    0.000    0.000    0.000 hmac.py:17(<genexpr>)
    77/63    0.000    0.000    0.000    0.000 transforms.py:136(_invalidate_internal)
      158    0.000    0.000    0.000    0.000 pyparsing.py:3722(<genexpr>)
        1    0.000    0.000    0.073    0.073 containers.py:4(<module>)
        2    0.000    0.000    0.020    0.010 display.py:2(<module>)
       17    0.000    0.000    0.001    0.000 parser.py:273(parse_node)
      130    0.000    0.000    0.000    0.000 cycler.py:212(<genexpr>)
        1    0.000    0.000    0.001    0.001 _color_data.py:1(<module>)
       80    0.000    0.000    0.000    0.000 reader.py:99(forward)
       31    0.000    0.000    0.000    0.000 _bootlocale.py:33(getpreferredencoding)
        5    0.000    0.000    0.272    0.054 __init__.py:15(<module>)
       46    0.000    0.000    0.000    0.000 rcsetup.py:976(_validate_linestyle)
      122    0.000    0.000    0.000    0.000 ssl.py:149(<lambda>)
        1    0.000    0.000    0.047    0.047 _base.py:1(<module>)
        1    0.000    0.000    0.359    0.359 ipapp.py:6(<module>)
        1    0.000    0.000    0.005    0.005 scale.py:8(<module>)
       32    0.000    0.000    0.000    0.000 normalizer.py:88(_register_rule)
       80    0.000    0.000    0.000    0.000 argparse.py:233(_add_item)
       29    0.000    0.000    0.001    0.000 rcsetup.py:271(validator)
      160    0.000    0.000    0.000    0.000 enum.py:659(<lambda>)
      257    0.000    0.000    0.000    0.000 hmac.py:18(<genexpr>)
        1    0.000    0.000    0.009    0.009 fromnumeric.py:3(<module>)
       88    0.000    0.000    0.000    0.000 six.py:141(__init__)
       45    0.000    0.000    0.000    0.000 pyparsing.py:1343(setName)
        1    0.000    0.000    0.000    0.000 __init__.py:776(<dictcomp>)
        1    0.000    0.000    0.334    0.334 completer.py:103(<module>)
       44    0.000    0.000    0.003    0.000 core.py:145(get_object_signature)
        4    0.000    0.000    0.000    0.000 rcsetup.py:454(validate_whiskers)
        1    0.000    0.000    0.002    0.002 helpers.py:3(<module>)
      122    0.000    0.000    0.000    0.000 ssl.py:129(<lambda>)
       44    0.000    0.000    0.000    0.000 six.py:105(__init__)
       16    0.000    0.000    0.007    0.000 scale.py:105(set_default_locators_and_formatters)
        1    0.000    0.000    0.000    0.000 pydoc.py:1696(Helper)
        1    0.000    0.000    0.007    0.007 scimath.py:17(<module>)
       44    0.000    0.000    0.000    0.000 pyparsing.py:3931(<genexpr>)
        1    0.000    0.000    0.002    0.002 named_commands.py:5(<module>)
      104    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        1    0.000    0.000    0.054    0.054 _utils.py:1(<module>)
       25    0.000    0.000    0.002    0.000 scanner.py:156(fetch_more_tokens)
       13    0.000    0.000    0.000    0.000 mixins.py:48(_numeric_methods)
        1    0.000    0.000    0.002    0.002 _base.py:367(_AxesBase)
       98    0.000    0.000    0.000    0.000 argparse.py:291(<listcomp>)
       92    0.000    0.000    0.000    0.000 argparse.py:566(_metavar_formatter)
       37    0.000    0.000    0.001    0.000 argparse.py:1570(_add_action)
      201    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
       15    0.000    0.000    0.000    0.000 traitlets.py:2558(class_init)
      175    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
       19    0.000    0.000    0.001    0.000 lines.py:1147(set_linestyle)
       30    0.000    0.000    0.001    0.000 path.py:188(_update_values)
      136    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
      122    0.000    0.000    0.000    0.000 ssl.py:124(<lambda>)
       35    0.000    0.000    0.006    0.000 textwrap.py:336(_split_chunks)
       12    0.000    0.000    0.006    0.001 axis.py:841(cla)
       97    0.000    0.000    0.000    0.000 pyparsing.py:5290(<genexpr>)
       20    0.000    0.000    0.003    0.000 deprecation.py:258(_rename_parameter)
       19    0.000    0.000    0.001    0.000 traitlets.py:1862(__init__)
       96    0.000    0.000    0.000    0.000 traceback.py:289(walk_stack)
       24    0.000    0.000    0.001    0.000 functools.py:479(decorating_function)
      122    0.000    0.000    0.000    0.000 ssl.py:144(<lambda>)
      186    0.000    0.000    0.000    0.000 {method 'ljust' of 'str' objects}
        5    0.000    0.000    0.059    0.012 __init__.py:10(<module>)
        2    0.000    0.000    0.008    0.004 cache.py:1(<module>)
       20    0.000    0.000    0.000    0.000 font_manager.py:778(set_weight)
       21    0.000    0.000    0.000    0.000 pyparsing.py:2966(__str__)
        2    0.000    0.000    0.012    0.006 __init__.py:8(<module>)
        1    0.000    0.000    0.000    0.000 dialog.py:3(<module>)
       74    0.000    0.000    0.000    0.000 argparse.py:1297(_registry_get)
        1    0.000    0.000    0.001    0.001 interactiveshell.py:90(TerminalInteractiveShell)
      134    0.000    0.000    0.000    0.000 {method 'intersection' of 'set' objects}
        1    0.000    0.000    0.086    0.086 lines.py:4(<module>)
       51    0.000    0.000    0.001    0.000 artist.py:358(set_transform)
        1    0.000    0.000    0.018    0.018 osm.py:30(OSMagics)
       25    0.000    0.000    0.000    0.000 scanner.py:752(scan_to_next_token)
        1    0.000    0.000    0.003    0.003 pydoc.py:39(<module>)
       47    0.000    0.000    0.000    0.000 pyparsing.py:2637(parseImpl)
       70    0.000    0.000    0.000    0.000 argparse.py:204(__init__)
       16    0.000    0.000    0.001    0.000 axis.py:1648(set_major_locator)
       14    0.000    0.000    0.000    0.000 pyparsing.py:4140(__str__)
       16    0.000    0.000    0.001    0.000 ticker.py:508(__init__)
       12    0.000    0.000    0.001    0.000 deprecation.py:343(<listcomp>)
       25    0.000    0.000    0.000    0.000 rcsetup.py:285(<listcomp>)
       22    0.000    0.000    0.003    0.000 argparse.py:1369(add_argument_group)
       35    0.000    0.000    0.000    0.000 pathlib.py:666(_from_parsed_parts)
        1    0.000    0.000    0.005    0.005 dates.py:133(<module>)
     32/9    0.000    0.000    0.028    0.003 pyparsing.py:4102(leaveWhitespace)
        1    0.000    0.000    0.001    0.001 latex_symbols.py:14(<module>)
       93    0.000    0.000    0.000    0.000 pyparsing.py:254(__init__)
       35    0.000    0.000    0.000    0.000 textwrap.py:115(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method _thread.start_new_thread}
       37    0.000    0.000    0.000    0.000 argparse.py:802(__init__)
        1    0.000    0.000    0.003    0.003 random.py:38(<module>)
       18    0.000    0.000    0.001    0.000 shape_base.py:25(atleast_1d)
       40    0.000    0.000    0.000    0.000 pathlib.py:676(_format_parsed_parts)
       26    0.000    0.000    0.002    0.000 core.py:6665(getdoc)
        3    0.000    0.000    0.000    0.000 tokenize.py:132(_all_string_prefixes)
       63    0.000    0.000    0.000    0.000 transforms.py:126(invalidate)
        1    0.000    0.000    0.052    0.052 imports.py:13(<module>)
        1    0.000    0.000    0.004    0.004 prompt.py:26(<module>)
      182    0.000    0.000    0.000    0.000 scanner.py:264(next_possible_simple_key)
       55    0.000    0.000    0.001    0.000 _tqdm.py:100(__exit__)
       26    0.000    0.000    0.000    0.000 pathlib.py:806(stem)
       81    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        1    0.000    0.000    0.005    0.005 figure.py:275(__init__)
       81    0.000    0.000    0.000    0.000 inspect.py:2226(<lambda>)
        1    0.000    0.000    0.015    0.015 __init__.py:41(<module>)
       90    0.000    0.000    0.000    0.000 _inspect.py:133(strseq)
       32    0.000    0.000    0.000    0.000 codecs.py:309(__init__)
       51    0.000    0.000    0.002    0.000 transforms.py:1247(__add__)
        9    0.000    0.000    0.001    0.000 enum.py:872(_decompose)
        1    0.000    0.000    0.000    0.000 loader.py:688(ArgParseConfigLoader)
       98    0.000    0.000    0.000    0.000 pyparsing.py:2350(streamline)
      178    0.000    0.000    0.000    0.000 __init__.py:2111(<genexpr>)
        1    0.000    0.000    0.001    0.001 shellapp.py:99(InteractiveShellApp)
        1    0.000    0.000    0.000    0.000 keys.py:116(<listcomp>)
       27    0.000    0.000    0.001    0.000 artist.py:20(allow_rasterization)
       27    0.000    0.000    0.001    0.000 rcsetup.py:50(__init__)
       56    0.000    0.000    0.000    0.000 inspect.py:1837(_signature_is_functionlike)
      100    0.000    0.000    0.000    0.000 _tqdm.py:213(ema)
       22    0.000    0.000    0.002    0.000 pathlib.py:1000(__new__)
        1    0.000    0.000    0.000    0.000 backend_bases.py:2638(NavigationToolbar2)
      134    0.000    0.000    0.001    0.000 artist.py:1006(<listcomp>)
       30    0.000    0.000    0.010    0.000 <__array_function__ internals>:2(linspace)
        2    0.000    0.000    0.050    0.025 loader.py:2(<module>)
       15    0.000    0.000    0.000    0.000 transforms.py:1924(rotate)
        1    0.000    0.000    0.002    0.002 path.py:10(<module>)
        1    0.000    0.000    0.000    0.000 defaults.py:154(<listcomp>)
    34/26    0.000    0.000    0.001    0.000 pyparsing.py:3769(__str__)
        1    0.000    0.000    0.035    0.035 application.py:2(<module>)
       20    0.000    0.000    0.000    0.000 font_manager.py:814(set_size)
       24    0.000    0.000    0.001    0.000 artist.py:978(_update_property)
        1    0.000    0.000    0.085    0.085 request.py:68(<module>)
        1    0.000    0.000    0.012    0.012 __init__.py:31(<module>)
        2    0.000    0.000    0.016    0.008 shape_base.py:1(<module>)
       15    0.000    0.000    0.003    0.000 patches.py:746(_update_patch_transform)
        1    0.000    0.000    0.004    0.004 iterable.py:22(<module>)
        7    0.000    0.000    0.000    0.000 stride_tricks.py:185(_broadcast_shape)
        1    0.000    0.000    0.041    0.041 multiarray.py:7(<module>)
        6    0.000    0.000    0.000    0.000 backend_bases.py:3411(export)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
       40    0.000    0.000    0.000    0.000 __init__.py:187(_checkLevel)
        1    0.000    0.000    0.000    0.000 colors.py:96(<dictcomp>)
        1    0.000    0.000    0.000    0.000 interpreter.py:23(MixedModuleContext)
        1    0.000    0.000    0.082    0.082 _tqdm.py:9(<module>)
       42    0.000    0.000    0.000    0.000 __init__.py:212(_acquireLock)
        1    0.000    0.000    0.008    0.008 linalg.py:10(<module>)
       27    0.000    0.000    0.000    0.000 locale.py:647(getpreferredencoding)
        1    0.000    0.000    0.003    0.003 art3d.py:8(<module>)
       38    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        1    0.000    0.000    0.006    0.006 tz.py:9(<module>)
        6    0.000    0.000    0.003    0.000 patches.py:42(__init__)
       42    0.000    0.000    0.001    0.000 pyparsing.py:1214(wrapper)
       14    0.000    0.000    0.002    0.000 text.py:359(dedent)
      132    0.000    0.000    0.000    0.000 six.py:88(__init__)
        1    0.000    0.000    0.050    0.050 patches.py:1(<module>)
       38    0.000    0.000    0.002    0.000 __init__.py:1930(getLogger)
        1    0.000    0.000    0.000    0.000 {built-in method posix.scandir}
        1    0.000    0.000    0.000    0.000 __init__.py:991(<listcomp>)
        2    0.000    0.000    0.026    0.013 base.py:9(<module>)
      135    0.000    0.000    0.000    0.000 enum.py:623(name)
       30    0.000    0.000    0.042    0.001 __init__.py:781(__init__)
       38    0.000    0.000    0.004    0.000 typing.py:1190(_alias)
       49    0.000    0.000    0.000    0.000 pyparsing.py:536(__getitem__)
      106    0.000    0.000    0.003    0.000 __init__.py:272(wrapper)
        9    0.000    0.000    0.000    0.000 shape_base.py:612(column_stack)
       24    0.000    0.000    0.000    0.000 functools.py:445(lru_cache)
       22    0.000    0.000    0.000    0.000 argparse.py:239(start_section)
       32    0.000    0.000    0.000    0.000 pathlib.py:290(splitroot)
       22    0.000    0.000    0.001    0.000 pathlib.py:653(_from_parts)
       38    0.000    0.000    0.001    0.000 pathlib.py:703(__fspath__)
       97    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
       16    0.000    0.000    0.001    0.000 axis.py:1664(set_minor_locator)
       16    0.000    0.000    0.001    0.000 deprecation.py:182(finalize)
       32    0.000    0.000    0.000    0.000 normalizer.py:100(decorator)
       44    0.000    0.000    0.000    0.000 argparse.py:197(_dedent)
       15    0.000    0.000    0.001    0.000 arrayprint.py:477(wrapper)
        4    0.000    0.000    0.000    0.000 __init__.py:17(_get_running_interactive_framework)
        1    0.000    0.000    0.005    0.005 defaults.py:3(<module>)
       78    0.000    0.000    0.000    0.000 _internal.py:795(<genexpr>)
       48    0.000    0.000    0.000    0.000 re.py:307(_subx)
       31    0.000    0.000    0.000    0.000 {built-in method _locale.nl_langinfo}
        5    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        1    0.000    0.000    0.032    0.032 function.py:1(<module>)
       24    0.000    0.000    0.001    0.000 dviread.py:154(decorate)
        1    0.000    0.000    0.013    0.013 lexer.py:10(<module>)
        1    0.000    0.000    0.000    0.000 process.py:10(<module>)
        1    0.000    0.000    0.000    0.000 subprocess.py:985(wait)
        3    0.000    0.000    0.000    0.000 {built-in method posix.mkdir}
       30    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(ndim)
       87    0.000    0.000    0.000    0.000 fromnumeric.py:74(<dictcomp>)
        1    0.000    0.000    0.002    0.002 pickle.py:181(<listcomp>)
      107    0.000    0.000    0.000    0.000 enum.py:628(value)
        1    0.000    0.000    0.000    0.000 colors.py:80(__init__)
       59    0.000    0.000    0.000    0.000 reader.py:114(get_mark)
       30    0.000    0.000    0.001    0.000 transforms.py:1972(translate)
       89    0.000    0.000    0.000    0.000 __init__.py:2113(type_name)
        1    0.000    0.000    0.024    0.024 context.py:3(<module>)
        6    0.000    0.000    0.001    0.000 typing.py:618(__getitem__)
       23    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:873(_find_spec_legacy)
      102    0.000    0.000    0.000    0.000 cycler.py:138(keys)
        1    0.000    0.000    0.067    0.067 buffer.py:4(<module>)
        1    0.000    0.000    0.017    0.017 ssl.py:91(<module>)
       21    0.000    0.000    0.001    0.000 six.py:819(with_metaclass)
        1    0.000    0.000    0.008    0.008 colors.py:66(<module>)
        1    0.000    0.000    0.182    0.182 application.py:1(<module>)
        1    0.000    0.000    0.002    0.002 opcode.py:5(<module>)
       59    0.000    0.000    0.000    0.000 _inspect.py:146(<lambda>)
        4    0.000    0.000    0.003    0.001 spines.py:36(__init__)
      138    0.000    0.000    0.000    0.000 pyparsing.py:1526(postParse)
     23/7    0.000    0.000    0.005    0.001 pyparsing.py:4121(streamline)
        1    0.000    0.000    0.000    0.000 token.py:78(<dictcomp>)
        1    0.000    0.000    0.002    0.002 _type_aliases.py:24(<module>)
        1    0.000    0.000    0.039    0.039 _base.py:948(cla)
        1    0.000    0.000    0.011    0.011 pyparsing.py:5391(_makeTags)
        1    0.000    0.000    0.000    0.000 {method 'dot' of 'numpy.ndarray' objects}
      130    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
        1    0.000    0.000    0.092    0.092 magic.py:3(<module>)
       22    0.000    0.000    0.002    0.000 argparse.py:276(add_arguments)
     17/1    0.000    0.000    0.005    0.005 composer.py:63(compose_node)
        2    0.000    0.000    1.486    0.743 __init__.py:6(<module>)
        1    0.000    0.000    0.002    0.002 axis.py:34(Tick)
       12    0.000    0.000    0.002    0.000 _pylab_helpers.py:65(destroy_all)
       38    0.000    0.000    0.001    0.000 markers.py:227(_recache)
       19    0.000    0.000    0.001    0.000 colors.py:916(reversed)
        1    0.000    0.000    0.002    0.002 application.py:120(Application)
        1    0.000    0.000    0.004    0.004 datetime.py:5(<module>)
        1    0.000    0.000    0.002    0.002 markers.py:147(MarkerStyle)
       25    0.000    0.000    0.001    0.000 pyparsing.py:4450(__init__)
        2    0.000    0.000    0.131    0.066 __init__.py:64(<module>)
        1    0.000    0.000    0.000    0.000 coroutines.py:35(CoroWrapper)
       34    0.000    0.000    0.000    0.000 enum.py:64(__init__)
       10    0.000    0.000    0.028    0.003 axis.py:884(set_tick_params)
       95    0.000    0.000    0.000    0.000 pyparsing.py:248(<genexpr>)
        1    0.000    0.000    0.066    0.066 controls.py:3(<module>)
       97    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
        1    0.000    0.000    0.025    0.025 execution.py:176(ExecutionMagics)
        1    0.000    0.000    0.000    0.000 __init__.py:468(Formatter)
        1    0.000    0.000    0.003    0.003 figure.py:245(Figure)
       72    0.000    0.000    0.001    0.000 pyparsing.py:1656(get)
        1    0.000    0.000    0.004    0.004 pdb.py:66(<module>)
       36    0.000    0.000    0.000    0.000 argparse.py:268(<listcomp>)
        1    0.000    0.000    0.000    0.000 pyplot.py:1988(<listcomp>)
        1    0.000    0.000    0.000    0.000 python.py:849(NumPyLexer)
      126    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        6    0.000    0.000    0.018    0.003 patches.py:1786(_pprint_styles)
       47    0.000    0.000    0.005    0.000 parser.py:94(check_event)
        8    0.000    0.000    0.000    0.000 resolver.py:25(add_implicit_resolver)
       66    0.000    0.000    0.000    0.000 _dtype.py:36(_kind_name)
        1    0.000    0.000    0.007    0.007 pickle.py:24(<module>)
        1    0.000    0.000    0.066    0.066 oinspect.py:8(<module>)
       95    0.000    0.000    0.000    0.000 enum.py:198(<genexpr>)
       55    0.000    0.000    0.000    0.000 lines.py:59(_scale_dashes)
       28    0.000    0.000    0.000    0.000 transforms.py:1831(__init__)
       11    0.000    0.000    0.068    0.006 argparse.py:283(format_help)
       45    0.000    0.000    0.000    0.000 docstring.py:43(update)
       37    0.000    0.000    0.001    0.000 argparse.py:1728(_add_action)
        1    0.000    0.000    0.002    0.002 encoder.py:2(<module>)
        1    0.000    0.000    0.002    0.002 application.py:102(BaseIPythonApplication)
        1    0.000    0.000    0.001    0.001 extras.py:10(<module>)
       20    0.000    0.000    0.000    0.000 pyparsing.py:1739(resetCache)
        1    0.000    0.000    0.000    0.000 selector_events.py:42(BaseSelectorEventLoop)
        5    0.000    0.000    0.051    0.010 platform.py:923(uname)
       34    0.000    0.000    0.000    0.000 os.py:755(decode)
        1    0.000    0.000    0.215    0.215 _axes.py:1(<module>)
        7    0.000    0.000    0.000    0.000 _parser.py:315(_convert)
       16    0.000    0.000    0.001    0.000 pyparsing.py:2135(__or__)
       16    0.000    0.000    0.001    0.000 pyparsing.py:3884(__init__)
       20    0.000    0.000    0.006    0.000 pyparsing.py:4311(parseImpl)
        1    0.000    0.000    0.022    0.022 _backend_tk.py:1(<module>)
       16    0.000    0.000    0.001    0.000 ticker.py:2087(_staircase)
       18    0.000    0.000    0.001    0.000 transforms.py:986(__init__)
       11    0.000    0.000    0.000    0.000 pyparsing.py:5046(_escapeRegexRangeChars)
        1    0.000    0.000    0.009    0.009 fontconfig_pattern.py:65(__init__)
        1    0.000    0.000    0.005    0.005 syntax_tree.py:3(<module>)
        1    0.000    0.000    0.033    0.033 execution.py:2(<module>)
        1    0.000    0.000    0.016    0.016 prefilter.py:7(<module>)
        1    0.000    0.000    0.000    0.000 backgroundjobs.py:357(BackgroundJobBase)
       84    0.000    0.000    0.000    0.000 overrides.py:105(decorator)
        9    0.000    0.000    0.000    0.000 weakref.py:102(__init__)
        1    0.000    0.000    0.184    0.184 text.py:3(<module>)
       16    0.000    0.000    0.000    0.000 pyparsing.py:2931(parseImpl)
       18    0.000    0.000    0.003    0.000 pyparsing.py:4390(parseImpl)
        3    0.000    0.000    0.007    0.002 defaults.py:1(<module>)
       47    0.000    0.000    0.000    0.000 named_commands.py:28(register)
       11    0.000    0.000    0.026    0.002 magic_arguments.py:108(__init__)
       16    0.000    0.000    0.000    0.000 scanner.py:1311(scan_plain_spaces)
        1    0.000    0.000    0.043    0.043 mathtext.py:16(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:206(silent_list)
       54    0.000    0.000    0.000    0.000 enum.py:907(_power_of_two)
        2    0.000    0.000    0.000    0.000 {method 'readline' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.249    0.249 collections.py:10(<module>)
        1    0.000    0.000    0.029    0.029 basic.py:71(BasicMagics)
        1    0.000    0.000    0.000    0.000 finder.py:16(<module>)
       34    0.000    0.000    0.000    0.000 enum.py:152(<dictcomp>)
        4    0.000    0.000    0.002    0.001 __init__.py:719(gen_candidates)
        1    0.000    0.000    0.002    0.002 base.py:14(<module>)
       27    0.000    0.000    0.000    0.000 typing.py:661(__hash__)
       32    0.000    0.000    0.000    0.000 axis.py:653(locator)
        1    0.000    0.000    0.100    0.100 code.py:2(<module>)
        1    0.000    0.000    0.016    0.016 Image.py:30(<module>)
       24    0.000    0.000    0.012    0.000 rcsetup.py:417(validate_font_properties)
       55    0.000    0.000    0.000    0.000 {method 'acquire' of '_multiprocessing.SemLock' objects}
       27    0.000    0.000    0.003    0.000 base.py:208(__init__)
       12    0.000    0.000    0.000    0.000 warnings.py:181(_add_filter)
        1    0.000    0.000    0.000    0.000 axis.py:1915(XAxis)
       11    0.000    0.000    0.000    0.000 __init__.py:138(connect)
        1    0.000    0.000    0.058    0.058 client.py:69(<module>)
        1    0.000    0.000    0.170    0.170 application.py:10(<module>)
        1    0.000    0.000    0.001    0.001 ctypeslib.py:370(<dictcomp>)
        1    0.000    0.000    0.030    0.030 index_tricks.py:1(<module>)
        2    0.000    0.000    0.004    0.002 linecache.py:82(updatecache)
       22    0.000    0.000    0.019    0.001 gettext.py:624(gettext)
